Severity	id		Headline							Build

5-Enhancement	JG200000200	Live: Radio: Player via Dateierweiterung m3u, m4u starten	R1.3.1
3-Average	JG200000147	LiveView nur 9 Bouquets im Dropdown. fixed.			R1.3.1
4-Minor		JG200000179	dietmarW-Images habe kein /var/tmp also /tmp nutzen		R1.3.1
5-Enhancement	JG200000084	Plugins: Settings: Mount-Einstellungen				R1.3.1
5-Enhancement	JG200000182	Live: Bouquets & Channel: Dropdown Breite begrenzen		R1.3.1
5-Enhancement	JG200000183	Bouquets: epg und settings im yWeb_Layout			R1.3.1
5-Enhancement	JG200000184	ycgi: execute=<script/func> wird als erstes ausgeführt		R1.3.1
5-Enhancement	JG200000185	ycgi: Parameter tmpl=<html-Seite> wird geparsed und ausgegeben	R1.3.1
5-Enhancement	JG200000187	nhhtpd.conf, wenn neu erstellt dann httpd-y in Private-Path	R1.3.1
5-Enhancement	JG200000192	Link auf Tuxbox-Wiki. Klick Logo (links oben)			R1.3.1
5-Enhancement	JG200000195	ycgi: New Parsing-Engine /y/cgi?...				R1.3.1
5-Enhancement	JG200000196	nhttpd: simplfy execCGI in controlAPI				R1.3.1
5-Enhancement	JG200000197	nhttpd: PLUGIN_DIRS jetzt in ControlAPI Constructor		R1.3.1
5-Enhancement	JG200000198	Tools: Test wird nicht mehr gebraucht. nhttpd in CVS		R1.3.1
5-Enhancement	JG200000199	Tools: nicht mehr mit Boxcontrol starten			R1.3.1

4-Minor		JG200000064	Live: geht nicht wenn SPTS aus-> vorher einschalten		R1.3.0
4-Minor		JG200000099	Tools-Format-Template (sed wie mount-liste) Vereinfachung	R1.3.0
4-Minor		JG200000149	Flash: Vor Upload *.img in tmp löschen				R1.3.0
5-Enhancement	JG200000062	Live: TV als PopUp						R1.3.0
5-Enhancement	JG200000120	Live: LCD Display, FB, Playback sperren/Live View		R1.3.0
5-Enhancement	JG200000121	Live Option Bilschirm am TV aus					R1.3.0
5-Enhancement	JG200000133	start_neutrino raus wenn nhttpd im CVS				R1.3.0
5-Enhancement	JG200000140	Live: Bouquet und Channel direkt auswählen			R1.3.0
5-Enhancement	JG200000152	Live: Play/Pause als ToggleBar					R1.3.0
5-Enhancement	JG200000153	Live: lock/unlock als ToggleBar					R1.3.0
5-Enhancement	JG200000155	nhttpd: Controlapi.cpp Suchreihenfolge Plugins: Var... zuerst	R1.3.0
5-Enhancement	JG200000157	Anderer Ort für die Scripte? Ja: .../httpd/scripts		R1.3.0
5-Enhancement	JG200000158	nhttp: yweb-api: NHTTPD_VERSION via Controlapi.cpp anzeigen	R1.3.0
5-Enhancement	JG200000159	y_reboot.sh raus Neu: yreboot in Tools				R1.3.0
5-Enhancement	JG200000160	Tools: Alles aus info.sh nach tools.sh				R1.3.0
5-Enhancement	JG200000161	nhttpd: scripts in Public/Private httpd Unterordner scripts	R1.3.0
5-Enhancement	JG200000162	Global: y_url_control für wget/localhost verwenden		R1.3.0
5-Enhancement	JG200000164	nhttps: aktuelles Bouquet ermitteln können: NEU: getbouquet?actual	R1.3.0
5-Enhancement	JG200000165	nhttpd: neue yweb-API						R1.3.0
5-Enhancement	JG200000166	nhttpd: yweb-api: video_stream_pids=<apid_idx> NEU		R1.3.0
5-Enhancement	JG200000167	nhttpd: yweb-api : radio_stream_pid NEU				R1.3.0
5-Enhancement	JG200000169	Live: Vor Aufruf auf TV umschalten				R1.3.0
5-Enhancement	JG200000175	Y-Web.conf erstellen wenn nicht existiert			R1.3.0
5-Enhancement	JG200000177	Live: "+" und "-" vertauschen					R1.3.0
5-Enhancement	JG200000178	Bouquest TV/Radio: "+" und "-" vertauschen			R1.3.0

3-Average	JG200000122	wget 127.0.0.1 geht nicht, wenn Authentication an ist.		R1.2.0
3-Average	JG200000123	Live: Local IP Addr via ifconfig ermitteln. Sonst keine vollständige Stream-URL	R1.2.0
4-Minor		JG200000086	Flash: MTDs sind unterschiedlich in den Images -> Menu dynamisch	R1.2.0
5-Enhancement	JG200000080	nhttpd: Passwort-Schutz auf allen Seiten			R1.2.0
5-Enhancement	JG200000083	nhttpd: Upload-Funktion (non blocking)				R1.2.0
5-Enhancement	JG200000103	About nach Settings verschoben					R1.2.0
5-Enhancement	JG200000104	Feature: Upload Bootlogo					R1.2.0
5-Enhancement	JG200000105	Feature: Upload Bootlogo LCD					R1.2.0
5-Enhancement	JG200000109	ucodes Upload & Download					R1.2.0
5-Enhancement	JG200000111	Bouquet / Services Upload & Download				R1.2.0
5-Enhancement	JG200000117	Start: Mit Uebersicht nicht mit Bouquets			R1.2.0

4-Minor		JG200000044	Y_Live: url : Ohne Escape-Chars ausgeben			R1.1.0
4-Minor		JG200000071	Layout: Fonts werden unter Linux nicht als Arial angezeigt	R1.1.0
5-Enhancement	JG200000043	Y_Live: URL für Radio generieren				R1.1.0
5-Enhancement	JG200000053	Alles: harte Verzeichnis Verlinkung raus od zentral konfigurieren	R1.1.0
5-Enhancement	JG200000065	Layout: Zentalisieren - dann besser Austauschbar		R1.1.0
5-Enhancement	JG200000070	Live: kleine Standard-Auflösung auf ...384*288			R1.1.0
5-Enhancement	JG200000073	Tools:Net-Stream: Text wieder auf deutsch			R1.1.0
